"id","content","category","created_on"
"4","A comparative assessment of management practices and livelihood roles of indigenous chicken in pastoral and agricultural households of Kenya","A","2020-12-01 20:12:58.683629+00:00"
"5","Access and use of information by small holder tea farmers","A","2020-12-01 20:23:05.878784+00:00"
"6","Access and utilization of agro meteorological information by smallholder farmers, Kenya","A","2020-12-02 03:31:11.914172+00:00"
"7","Adoption of assisted reproductive technologies and sahiwal cattle breed and their impact on household farm income in narok and kajiado counties of Kenya","A","2020-12-02 03:32:40.901810+00:00"
"8","Adoption of innovations and resources optimization in crop livestock integrated production system among small-scale cotton farmers","A","2020-12-02 03:34:02.691998+00:00"
"9","Adoption of community hygiene strategies for safe water and sanitation","S","2020-12-02 16:58:09.084819+00:00"
"10","Antibiotic susceptibility profile of enteric bacterial isolates from stool in children below five years","S","2020-12-02 17:03:19.434140+00:00"
"11","Antibody responses induced in balb/c mice vaccinated with malaria dna vaccine candidate, psebcgtt, co-expressing ccl5 or ccl20 as adjuvants","S","2020-12-02 17:05:12.743744+00:00"
"12","A spatial statistical approach to malaria risk mapping, a case study of kericho county district and sub-district hospitals","EC","2020-12-02 17:34:48.467942+00:00"
"13","Analysis of the relationship between trade openness, foreign aid, external debt and economic growth in kenya","EC","2020-12-02 17:36:31.723679+00:00"
"14","Audio frequency meter","GS","2020-12-04 07:00:39.672331+00:00"
